ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
22,Louisiana,LA,22021,Caldwell Parish,22021,"Caldwell Parish, Louisiana",529.769950336472,9658,0,4634,51,3521,199,3652,586,468,182,730,190,1380,289,637,237,1762,0,2215,0,1683,268,345,128,13,72,2227,84,68,59,1881,306,220,137,321,140,305,118,39.0,6.2,12.9,5.0,20.7,5.3,20.1,4.2,6.8,2.5,18.2,0.0,22.9,0.0,18.0,2.8,9.8,3.6,0.1,0.8,23.1,0.9,1.5,1.3,40.6,6.4,6.2,3.9,9.1,4.1,3.2,1.2,0.7778,0.9524,0.4444,0.7778,0.1905,3.1429,0.7619,0.6825,0.3968,0.6825,0.746,0.0635,2.5713,0.619,0.127,0.127,0.127,0.3968,0.9524,0.9683,0.6508,0.619,3.5873,0.9841,9.4285,0.8254,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,8065,993,193,1957,125,82,86,7,10,0,20,0,20,168,106,13,12,28.2,5.7,20.3,1.3,0.8,0.9,0.1,0.1,0.0,0.5,0.0,0.5,1.7,1.1,0.1,0.1
22,Louisiana,LA,22023,Cameron Parish,22023,"Cameron Parish, Louisiana",1284.638499882314,5447,0,3556,183,2166,145,1621,578,55,49,230,139,383,137,443,283,865,112,1130,140,864,248,128,135,157,241,700,287,7,23,1443,287,233,143,33,26,29,4,30.0,10.7,2.1,1.8,10.6,6.4,9.7,3.6,8.2,5.2,15.9,2.1,20.7,2.6,15.9,4.6,6.0,6.2,3.1,4.7,12.9,5.3,0.2,0.6,40.6,7.1,10.8,6.6,1.5,1.2,0.5,0.1,0.4444,0.0,0.0,0.0476,0.6349,1.1269,0.1111,0.381,0.127,0.3492,0.0794,0.9841,1.9207,0.1905,0.0,0.0,0.0,0.0159,0.9524,1.0,0.0,0.0159,1.9842,0.2063,5.0318,0.0476,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,3,10704,341,110,60,98,218,309,50,94,128,155,0,20,243,254,1,5,15.7,4.9,1.1,1.8,4.0,5.7,0.9,1.7,2.3,2.8,0.0,0.8,4.5,4.7,0.0,0.1
22,Louisiana,LA,22025,Catahoula Parish,22025,"Catahoula Parish, Louisiana",708.024595437774,8895,0,4461,35,3030,191,2494,433,203,81,636,162,1574,258,632,229,1515,59,1948,0,1296,241,201,97,9,79,3009,22,171,106,1506,249,47,42,312,123,1261,84,32.8,5.7,6.5,2.7,21.0,5.2,25.0,4.0,8.3,3.0,17.0,0.7,21.9,0.0,17.0,3.2,6.6,3.2,0.1,100.0,33.8,0.2,3.9,2.4,33.8,5.6,1.5,1.4,10.3,3.9,14.2,0.9,0.5397,0.5079,0.4603,0.9841,0.6508,3.1428,0.7302,0.5714,0.2381,0.5397,0.1429,0.0635,1.5556,0.0794,0.2857,0.2857,0.2857,0.7143,0.9206,0.2063,0.7937,0.9206,3.5555,0.9683,8.5396,0.6349,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,7101,803,171,2806,106,97,57,7,11,10,20,0,20,89,76,0,20,26.5,5.3,31.5,1.2,1.1,0.6,0.1,0.1,0.1,0.2,0.0,0.5,1.0,0.9,0.0,0.5
22,Louisiana,LA,22027,Claiborne Parish,22027,"Claiborne Parish, Louisiana",754.794088230734,14203,0,6858,45,5060,219,6003,541,231,113,1026,197,2224,235,859,227,2981,29,2692,38,1803,239,456,150,6,82,7734,39,116,71,1854,226,75,49,643,167,1919,88,48.9,4.4,5.2,2.5,20.3,3.8,21.5,2.3,7.0,1.9,21.0,0.2,19.0,0.3,14.7,1.9,9.0,2.9,0.0,0.6,54.5,0.3,1.7,1.0,27.0,3.3,1.4,1.0,12.7,3.1,13.5,0.6,0.9683,0.2063,0.381,0.873,0.254,2.6826,0.5556,0.9524,0.0317,0.2063,0.6032,0.0,1.7936,0.1429,0.873,0.873,0.873,0.4603,0.7778,0.1429,0.9524,0.8889,3.2223,0.873,8.5715,0.6508,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,11667,2659,271,7028,185,253,0,19,29,2,6,0,22,432,182,0,22,52.5,4.4,49.5,1.3,1.8,0.0,0.1,0.2,0.0,0.1,0.0,0.3,3.0,1.3,0.0,0.3
22,Louisiana,LA,22029,Concordia Parish,22029,"Concordia Parish, Louisiana",697.053850352452,18677,0,9003,55,6302,305,7943,696,741,238,1697,274,1761,376,1731,335,3475,19,4428,51,3645,457,637,166,354,202,8032,56,22,31,2096,269,216,126,741,214,1325,122,45.9,4.0,12.0,3.8,26.9,4.1,14.2,2.9,10.0,1.9,18.6,0.1,23.7,0.3,21.0,2.7,10.1,2.6,2.0,1.2,43.0,0.3,0.2,0.3,23.3,3.0,3.5,2.0,11.8,3.3,7.1,0.7,0.9365,0.9206,0.8095,0.381,0.9683,4.0159,0.9524,0.746,0.5714,0.9048,0.7937,0.9048,3.9207,1.0,0.6349,0.6349,0.6349,0.0159,0.6508,0.8413,0.9206,0.7937,3.2223,0.873,11.7938,0.9683,1,1,0,0,1,3,0,0,1,0,1,2,0,0,0,0,0,1,0,1,6,17123,1725,242,7316,184,355,0,63,55,17,27,0,22,271,178,10,17,27.4,3.7,39.2,1.0,1.9,0.0,0.3,0.3,0.1,0.1,0.0,0.2,1.5,1.0,0.1,0.1
22,Louisiana,LA,22031,De Soto Parish,22031,"De Soto Parish, Louisiana",876.4487021503,26821,0,12463,51,10235,316,8269,914,766,253,1991,302,3247,342,1887,318,4870,83,6392,0,5283,489,962,211,109,128,10969,65,143,96,3864,355,189,130,932,203,218,19,31.1,3.4,6.9,2.2,19.5,2.9,17.6,1.9,7.1,1.2,18.2,0.3,23.8,0.0,19.9,1.8,9.4,2.0,0.4,0.5,40.9,0.2,1.2,0.8,31.0,2.9,1.9,1.3,9.1,2.0,0.8,0.1,0.4921,0.5873,0.2698,0.6032,0.2857,2.2381,0.381,0.6825,0.5873,0.7937,0.6349,0.2222,2.9206,0.7937,0.6032,0.6032,0.6032,0.3016,0.873,0.2857,0.6508,0.0952,2.2063,0.2857,7.9682,0.5079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22171,2301,355,9164,219,879,0,73,80,137,73,0,26,690,207,26,37,22.5,3.5,34.2,0.8,3.3,0.0,0.3,0.3,0.5,0.3,0.0,0.2,2.6,0.8,0.1,0.1
22,Louisiana,LA,22033,East Baton Rouge Parish,22033,"East Baton Rouge Parish, Louisiana",455.50186151878,454369,0,204246,108,173792,1560,119919,4284,16637,1476,53033,2278,26085,1396,37697,2917,66711,0,101236,0,63962,2486,14780,1313,7144,904,256828,703,37015,1724,5795,816,4424,727,13416,1169,13072,125,27.2,1.0,7.1,0.6,30.5,1.3,9.2,0.5,8.4,0.6,14.7,0.0,22.3,0.0,14.2,0.6,8.5,0.8,1.7,0.2,56.5,0.2,18.1,0.8,2.8,0.4,2.5,0.4,7.7,0.7,2.9,0.0,0.3016,0.619,0.9206,0.0159,0.6825,2.5396,0.4921,0.1429,0.2857,0.1905,0.5556,0.8254,2.0001,0.2381,0.9048,0.9048,0.9048,1.0,0.0317,0.5873,0.4127,0.5397,2.5714,0.5556,8.0159,0.5238,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,536118,18823,1234,204823,2566,20482,0,14077,606,469,156,0,33,15479,2691,1498,632,10.8,0.7,45.1,0.6,4.5,0.0,3.1,0.1,0.1,0.1,0.0,0.1,3.4,0.6,0.3,0.1
22,Louisiana,LA,22035,East Carroll Parish,22035,"East Carroll Parish, Louisiana",420.886888257368,7371,0,3319,180,2381,224,3137,291,301,166,821,198,1560,288,243,115,1163,112,1675,140,966,214,425,132,0,80,5334,295,11,27,749,185,19,27,289,120,1870,70,57.0,5.2,15.1,7.8,34.5,7.7,32.3,5.6,4.4,2.1,15.8,1.5,22.7,1.9,17.6,3.8,17.8,5.3,0.0,1.1,72.4,4.0,0.3,0.8,22.6,5.2,0.8,1.1,12.1,5.0,25.4,0.9,1.0,0.9841,0.9841,1.0,0.0,3.9682,0.9365,0.3492,0.3333,0.6032,1.0,0.0,2.2857,0.4127,1.0,1.0,1.0,0.0794,0.6032,0.0159,0.9365,1.0,2.635,0.6032,9.8889,0.8571,1,1,1,1,0,4,0,0,0,1,0,1,1,1,0,0,0,1,1,2,8,7073,878,187,4891,345,110,67,0,20,50,46,0,20,248,110,35,57,36.9,7.3,66.4,4.7,1.5,0.9,0.0,0.6,0.7,0.6,0.0,0.6,3.4,1.5,0.5,0.8
22,Louisiana,LA,22037,East Feliciana Parish,22037,"East Feliciana Parish, Louisiana",453.292604021574,19452,0,8124,194,6613,315,3699,577,385,196,994,237,2290,297,1337,310,3636,97,3332,50,2626,414,279,121,73,97,8913,53,182,85,2170,341,120,63,548,174,3186,488,22.2,3.4,5.5,2.7,15.0,3.5,15.6,2.0,8.0,1.8,18.7,0.5,17.1,0.3,15.8,2.5,4.2,1.8,0.4,0.5,45.8,0.3,2.3,1.0,26.7,4.1,1.8,0.9,8.3,2.6,16.4,2.5,0.1111,0.2857,0.0794,0.4444,0.5238,1.4444,0.1587,0.7778,0.0159,0.3175,0.0159,0.2222,1.3493,0.0476,0.6984,0.6984,0.6984,0.5714,0.746,0.254,0.5238,0.9683,3.0635,0.8254,6.5556,0.2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,15165,1646,289,7796,215,351,0,58,22,152,142,0,22,556,189,0,22,24.9,4.1,40.1,1.1,1.8,0.0,0.3,0.1,0.8,0.7,0.0,0.2,2.9,1.0,0.0,0.2
22,Louisiana,LA,22039,Evangeline Parish,22039,"Evangeline Parish, Louisiana",662.43032686225,32335,0,14494,52,12128,320,13324,1183,1860,359,3542,467,4924,436,2822,448,5037,54,8079,90,7671,690,1337,327,894,280,11366,396,634,189,2164,329,370,151,1350,223,1450,109,43.1,3.8,14.0,2.6,29.2,3.8,23.5,2.1,9.1,1.5,15.6,0.2,25.0,0.3,24.8,2.2,11.1,2.7,3.0,0.9,35.2,1.2,4.4,1.3,14.9,2.3,3.1,1.2,11.1,1.8,4.5,0.3,0.8889,0.9683,0.873,0.9524,0.8254,4.508,1.0,0.2857,0.7937,0.9683,0.8889,0.9683,3.9049,0.9841,0.381,0.381,0.381,0.7619,0.2222,0.8095,0.873,0.7143,3.3809,0.9365,12.1748,0.9841,0,1,0,1,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,4,28758,2897,320,8121,411,1352,0,85,58,74,66,20,32,1131,383,583,425,23.9,2.7,25.1,1.3,4.2,0.0,0.3,0.2,0.2,0.2,0.1,0.1,3.5,1.2,1.8,1.3
