ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
51,Virginia,VA,51131,Northampton County,51131,"Northampton County, Virginia",211.71171120608,12132,0,7412,41,5344,232,3078,420,248,88,1211,192,1194,172,1222,291,3349,30,2322,15,2379,257,171,80,191,152,5414,29,235,62,770,186,101,89,550,135,292,11,26.0,3.5,4.8,1.8,22.7,3.5,13.1,1.9,10.3,2.4,27.6,0.2,19.1,0.1,20.1,2.2,3.2,1.5,1.6,1.3,44.6,0.2,3.2,0.8,10.4,2.5,1.9,1.7,10.3,2.5,2.4,0.1,0.6742,0.5909,0.5833,0.6439,0.8636,3.3559,0.7576,0.947,0.4091,0.8258,0.1288,0.7652,3.0759,0.8485,0.7803,0.7803,0.7803,0.4394,0.6364,0.6515,0.8788,0.5379,3.144,0.8106,10.3561,0.8409,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11627,970,174,3785,115,1146,0,134,22,4,8,0,21,345,120,0,21,18.2,3.2,31.2,0.9,9.4,0.0,1.1,0.2,0.0,0.1,0.0,0.3,2.8,1.0,0.0,0.3
51,Virginia,VA,51133,Northumberland County,51133,"Northumberland County, Virginia",191.431474311492,12007,0,8989,16,5174,329,2419,507,226,194,993,220,1005,230,915,300,4423,37,1774,61,1791,369,185,93,12,82,3824,149,68,88,839,211,113,94,220,103,0,21,20.3,4.2,4.9,4.1,19.2,4.1,10.8,2.5,7.6,2.5,36.8,0.3,14.8,0.5,14.9,3.1,3.6,1.8,0.1,0.7,31.8,1.2,0.8,1.0,9.3,2.4,2.1,1.8,4.3,1.9,0.0,0.2,0.4924,0.6061,0.2803,0.5076,0.5985,2.4849,0.5,0.9848,0.0379,0.5,0.1894,0.0758,1.7879,0.1061,0.5606,0.5606,0.5606,0.1288,0.5833,0.7424,0.303,0.0,1.7575,0.1364,6.5909,0.2576,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8407,1042,240,2510,331,489,0,104,136,0,21,0,21,688,338,33,43,20.1,4.1,20.9,2.8,4.1,0.0,0.9,1.1,0.0,0.3,0.0,0.3,5.7,2.8,0.3,0.4
51,Virginia,VA,51135,Nottoway County,51135,"Nottoway County, Virginia",314.389570127466,15638,0,6658,34,5415,222,4095,552,415,165,1379,289,1823,358,1872,430,2857,64,3063,32,2499,338,440,172,56,94,7187,60,110,54,689,196,71,58,389,140,2374,74,29.5,4.0,6.4,2.5,25.5,5.2,16.2,3.2,13.5,3.1,18.3,0.4,19.6,0.2,18.0,2.4,8.1,3.2,0.4,0.6,46.0,0.4,1.6,0.8,10.3,3.0,1.3,1.1,7.2,2.5,15.2,0.5,0.7955,0.8485,0.7424,0.8106,0.9697,4.1667,0.947,0.3712,0.4621,0.7424,0.8333,0.2955,2.7045,0.697,0.7955,0.7955,0.7955,0.2879,0.6288,0.3485,0.6894,0.9545,2.9091,0.7045,10.5758,0.8636,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,14640,1540,270,5944,156,783,0,83,44,3,7,0,21,342,164,32,60,28.4,4.8,38.0,1.0,5.0,0.0,0.5,0.3,0.0,0.1,0.0,0.3,2.2,1.0,0.2,0.4
51,Virginia,VA,51137,Orange County,51137,"Orange County, Virginia",340.514848442642,36593,0,15700,57,14309,329,6286,901,804,228,2751,419,2678,421,2249,482,7284,90,7731,82,5573,631,538,195,230,143,8529,124,693,242,798,218,329,166,552,199,582,13,17.5,2.5,4.4,1.2,19.2,2.9,10.2,1.6,6.2,1.3,19.9,0.2,21.1,0.2,15.5,1.7,3.8,1.4,0.7,0.4,23.3,0.3,4.4,1.5,5.1,1.4,2.3,1.2,3.9,1.4,1.6,0.0,0.3712,0.5152,0.2803,0.4318,0.2879,1.8864,0.2652,0.5152,0.6439,0.553,0.2273,0.5152,2.4546,0.5379,0.4318,0.4318,0.4318,0.5758,0.447,0.8182,0.25,0.3788,2.4698,0.5303,7.2426,0.4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31274,1654,323,4457,273,2206,0,536,103,5,10,0,28,1253,299,72,118,11.6,2.3,12.2,0.7,6.0,0.0,1.5,0.3,0.0,0.1,0.0,0.1,3.4,0.8,0.2,0.3
51,Virginia,VA,51139,Page County,51139,"Page County, Virginia",310.017144128794,23753,0,11784,31,9351,327,4228,726,533,165,2291,361,3053,441,2545,391,5063,68,4739,44,4699,466,345,103,124,137,1752,181,172,127,1114,239,62,39,651,215,238,6,18.0,3.1,4.6,1.5,24.5,3.8,17.6,2.5,10.8,1.7,21.3,0.3,20.0,0.2,20.0,2.0,3.7,1.1,0.5,0.6,7.4,0.8,1.4,1.1,9.5,2.0,0.6,0.4,7.0,2.3,1.0,0.0,0.4091,0.5379,0.7045,0.8712,0.9242,3.4469,0.7879,0.5985,0.5682,0.8182,0.2045,0.3561,2.5455,0.5833,0.1212,0.1212,0.1212,0.2727,0.5909,0.1136,0.6667,0.2348,1.8787,0.1894,7.9923,0.5606,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19108,2104,373,423,125,562,0,79,51,29,29,0,25,511,191,148,105,22.5,3.8,1.8,0.5,2.4,0.0,0.3,0.2,0.1,0.1,0.0,0.2,2.2,0.8,0.6,0.4
51,Virginia,VA,51141,Patrick County,51141,"Patrick County, Virginia",482.95420213781,17660,0,10007,19,7779,323,3937,582,169,76,1303,280,2218,334,1073,233,4759,89,3073,43,3522,413,155,79,78,102,1851,26,85,54,2397,333,76,49,326,116,436,7,22.9,3.4,2.3,1.0,16.8,3.5,16.4,2.5,6.2,1.3,26.9,0.5,17.4,0.2,20.4,2.4,2.0,1.0,0.5,0.6,10.5,0.1,0.9,0.5,24.0,3.3,1.0,0.6,4.2,1.5,2.5,0.0,0.5909,0.0379,0.1212,0.8182,0.2879,1.8561,0.2576,0.9394,0.2045,0.8561,0.053,0.3561,2.4091,0.4848,0.1818,0.1818,0.1818,0.1591,0.9621,0.2803,0.2803,0.553,2.2348,0.3485,6.6818,0.2652,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,15032,1873,310,993,57,577,0,82,21,12,19,0,21,177,66,10,14,24.1,3.7,5.6,0.3,3.3,0.0,0.5,0.2,0.1,0.1,0.0,0.2,1.0,0.4,0.1,0.1
51,Virginia,VA,51143,Pittsylvania County,51143,"Pittsylvania County, Virginia",969.002380914952,60541,0,29526,47,24487,449,16221,1272,1468,298,5468,567,7099,559,3981,558,14247,83,11046,0,11893,844,1693,284,320,191,15961,69,522,179,5552,437,420,180,1275,251,1318,65,27.4,2.1,5.4,1.1,22.3,2.3,15.8,1.2,6.7,0.9,23.5,0.1,18.2,0.0,20.1,1.4,6.9,1.2,0.6,0.3,26.4,0.1,1.7,0.6,18.8,1.5,1.7,0.7,5.2,1.0,2.2,0.1,0.75,0.7045,0.5455,0.7955,0.4015,3.197,0.7197,0.7803,0.2955,0.8258,0.7121,0.4394,3.0531,0.8409,0.4773,0.4773,0.4773,0.3106,0.8409,0.5682,0.4621,0.5,2.6818,0.6136,9.4092,0.7348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42223,6280,501,11820,439,1760,0,288,67,33,24,0,31,2037,441,23,39,25.6,2.0,19.5,0.7,2.9,0.0,0.5,0.1,0.1,0.1,0.0,0.1,3.4,0.7,0.0,0.1
51,Virginia,VA,51145,Powhatan County,51145,"Powhatan County, Virginia",260.202354822764,30503,0,11619,47,11077,242,2452,591,412,180,1367,302,1944,367,1089,384,5875,106,5491,155,3388,461,371,163,52,107,4511,225,0,39,267,150,31,48,174,114,1692,48,8.5,2.1,2.6,1.2,12.3,2.7,8.5,1.6,3.8,1.3,19.3,0.3,18.0,0.5,11.7,1.6,3.4,1.5,0.2,0.4,14.8,0.7,0.0,0.3,2.3,1.3,0.3,0.4,1.6,1.0,5.5,0.2,0.0379,0.0758,0.0076,0.2803,0.053,0.4546,0.0303,0.4545,0.2424,0.1818,0.1515,0.1742,1.2044,0.0227,0.2576,0.2576,0.2576,0.0,0.3333,0.0455,0.0227,0.7955,1.197,0.0455,3.1136,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23987,905,261,2660,203,754,0,47,37,29,30,0,28,888,278,133,129,8.2,2.3,8.7,0.7,2.5,0.0,0.2,0.1,0.1,0.1,0.0,0.1,2.9,0.9,0.4,0.4
51,Virginia,VA,51147,Prince Edward County,51147,"Prince Edward County, Virginia",349.946173579702,21922,0,9153,145,7416,362,4373,556,209,104,2122,444,1465,301,1435,319,3585,52,3282,59,3162,433,423,192,290,177,8653,60,506,145,1115,248,55,50,625,177,5224,304,26.5,3.3,2.4,1.2,28.6,5.8,11.6,2.4,6.9,1.5,16.4,0.2,15.0,0.3,15.3,2.1,5.8,2.6,1.4,0.8,39.5,0.3,5.5,1.6,12.2,2.7,0.7,0.7,8.4,2.4,23.8,1.4,0.6894,0.053,0.8106,0.5758,0.4394,2.5682,0.5379,0.25,0.053,0.5455,0.5758,0.6818,2.1061,0.2424,0.6894,0.6894,0.6894,0.6212,0.697,0.1667,0.7803,0.9773,3.2425,0.8561,8.6062,0.6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,22857,1818,297,6522,395,791,0,308,147,81,69,185,231,755,365,11,22,24.5,3.9,29.8,1.8,3.6,0.0,1.4,0.7,0.4,0.3,0.8,1.1,3.4,1.7,0.1,0.1
51,Virginia,VA,51149,Prince George County,51149,"Prince George County, Virginia",265.341742714582,42634,0,13344,89,12808,168,6765,1101,1324,439,2987,416,2934,385,1415,353,5489,70,8343,53,4487,472,979,232,166,128,20206,114,617,224,771,191,170,105,383,154,5848,258,18.4,3.0,7.5,2.4,23.3,3.2,10.6,1.4,4.0,1.0,12.9,0.2,19.6,0.1,12.7,1.4,7.6,1.8,0.4,0.3,47.4,0.3,4.7,1.7,5.8,1.4,1.3,0.8,3.0,1.2,13.7,0.6,0.4242,0.9318,0.6212,0.4621,0.0682,2.5075,0.5152,0.0909,0.4621,0.3106,0.7955,0.2955,1.9546,0.1591,0.8333,0.8333,0.8333,0.5909,0.4697,0.3485,0.1439,0.9167,2.4697,0.5227,7.7651,0.5152,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,49589,1479,327,12876,395,4117,0,715,199,107,65,182,34,2034,451,175,104,11.5,2.5,30.2,0.9,9.7,0.0,1.7,0.5,0.3,0.2,0.4,0.1,4.8,1.1,0.4,0.2
